
start_time	end_time	hr	hr_max	hr_min	steps	calories
2/20 18:20	2/20 18:25	None	None	None	None	6.08333
2/20 18:25	2/20 18:30	None	None	None	None	6.08333
2/20 18:30	2/20 18:35	None	None	None	None	6.08333
2/20 18:35	2/20 18:40	None	None	None	None	6.08333
2/20 18:40	2/20 18:45	None	None	None	None	6.08333
2/20 18:45	2/20 18:50	None	None	None	None	6.08333
2/20 18:50	2/20 18:55	None	None	None	None	6.08333
2/20 18:55	2/20 19:0	None	None	None	None	6.08333
2/20 19:0	2/20 19:5	None	None	None	33.2315789474	8.58805256667
2/20 19:5	2/20 19:10	None	None	None	206.838421053	12.0226276667
2/20 19:10	2/20 19:15	None	None	None	84.93	9.50708956705
2/20 19:15	2/20 19:20	None	None	None	140.394648829	7.71206326628
2/20 19:20	2/20 19:25	None	None	None	179.321567387	10.1057011333
2/20 19:25	2/20 19:30	None	None	None	184.223783784	11.3593099564
2/20 19:30	2/20 19:35	None	None	None	148.06	3.91367415385
2/20 19:35	2/20 19:40	None	None	None	None	6.07236168974
2/20 19:40	2/20 19:45	None	None	None	None	6.08333
2/20 19:45	2/20 19:50	None	None	None	50.8988764045	5.99455723333
2/20 19:50	2/20 19:55	None	None	None	58.1011235955	0.113151458824
2/20 19:55	2/20 20:0	None	None	None	None	3.86477930784
2/20 20:0	2/20 20:5	None	None	None	None	6.08333
2/20 20:5	2/20 20:10	None	None	None	None	6.08333
2/20 20:10	2/20 20:15	None	None	None	None	6.08333
2/20 20:15	2/20 20:20	None	None	None	None	6.08333
2/20 20:20	2/20 20:25	None	None	None	None	6.08333
2/20 20:25	2/20 20:30	None	None	None	None	6.08333
2/20 20:30	2/20 20:35	None	None	None	None	6.08333
2/20 20:35	2/20 20:40	None	None	None	None	6.08333
2/20 20:40	2/20 20:45	None	None	None	None	6.08333
2/20 20:45	2/20 20:50	None	None	None	None	6.08333
2/20 20:50	2/20 20:55	None	None	None	12.7091836735	8.62746356667
2/20 20:55	2/20 21:0	57.0	None	57.0	121.24518895	7.8493616
2/20 21:0	2/20 21:5	None	None	None	104.469291499	6.96034743333
2/20 21:5	2/20 21:10	None	None	None	146.156335878	9.67825863333
2/20 21:10	2/20 21:15	83.5	None	66.0	106.553333333	8.06148876667
2/20 21:15	2/20 21:20	None	None	None	21.88	6.08333
2/20 21:20	2/20 21:25	None	None	None	7.98666666667	6.08333
2/20 21:25	2/20 21:30	91.0	None	91.0	1.07692307692	6.08333
2/20 21:30	2/20 21:35	None	None	None	43.7326007326	6.08246119437
2/20 21:35	2/20 21:40	109.0	None	109.0	31.664160401	0.060816038961
2/20 21:40	2/20 21:45	101.0	None	101.0	53.9912280702	None
2/20 21:45	2/20 21:50	79.0	None	79.0	15.5350877193	None
2/20 21:50	2/20 21:55	None	None	None	None	None
2/20 21:55	2/20 22:0	None	None	None	None	None
